timestamp,level,code,message,location
2026-08-17 23:57:46,crit,F01,DV CRIT 0.262V,PACK
2026-08-17 23:57:46,warn,F02,TEMP HIGH 53C,S6C03
2026-08-17 23:57:46,warn,HT71,HOT 53C,S6C01
2026-08-17 23:57:46,warn,HT72,HOT 53C,S6C02
2026-08-17 23:57:46,warn,HT73,HOT 53C,S6C03
2026-08-17 23:57:46,warn,HT74,HOT 53C,S6C04
2026-08-17 23:57:47,crit,OT72,OVERHEAT 55C,S6C02
2026-08-17 23:57:47,warn,HT72,HOT 54C,S6C02
2026-08-17 23:57:50,crit,OT71,OVERHEAT 55C,S6C01
2026-08-17 23:57:50,warn,HT71,HOT 53C,S6C01
2026-08-17 23:57:53,crit,OT73,OVERHEAT 55C,S6C03
2026-08-17 23:57:54,warn,HT73,HOT 52C,S6C03
2026-08-17 23:58:52,crit,F01,DV CRIT 0.238V,PACK
2026-08-17 23:58:52,warn,F02,TEMP HIGH 54C,S6C03
2026-08-17 23:58:52,warn,HT71,HOT 53C,S6C01
2026-08-17 23:58:52,warn,HT72,HOT 52C,S6C02
2026-08-17 23:58:52,warn,HT73,HOT 54C,S6C03
2026-08-17 23:58:52,warn,HT74,HOT 54C,S6C04
2026-08-17 23:59:04,crit,OT73,OVERHEAT 55C,S6C03
2026-08-17 23:59:05,warn,HT73,HOT 54C,S6C03
2026-08-17 23:59:26,crit,OT71,OVERHEAT 55C,S6C01
2026-08-17 23:59:26,warn,HT71,HOT 53C,S6C01
2026-08-17 23:59:50,crit,OT74,OVERHEAT 55C,S6C04
2026-08-17 23:59:50,warn,HT74,HOT 54C,S6C04
2026-08-18 00:00:15,crit,OT71,OVERHEAT 55C,S6C01
2026-08-18 00:00:15,warn,HT71,HOT 53C,S6C01
2026-08-18 00:00:32,crit,F01,DV CRIT 0.384V,PACK
2026-08-18 00:00:32,warn,F02,TEMP HIGH 54C,S6C04
2026-08-18 00:00:32,warn,HT71,HOT 52C,S6C01
2026-08-18 00:00:32,warn,HT72,HOT 53C,S6C02
2026-08-18 00:00:32,warn,HT73,HOT 53C,S6C03
2026-08-18 00:00:32,warn,HT74,HOT 54C,S6C04
2026-08-18 00:00:39,crit,OT71,OVERHEAT 55C,S6C01
2026-08-18 00:00:39,warn,HT71,HOT 53C,S6C01
2026-08-19 16:40:59,crit,F01,DV CRIT 0.223V,PACK
2026-08-19 16:40:59,warn,F02,TEMP HIGH 54C,S6C03
